product_id,source_platform,collection_date,price_cny,sales_lower_bound,sales_is_censored,sales_observed,official_store_claimed,museum_name,museum_ip_flag,product_category,product_format,price_tier,title_length_chars,keyword_excavation,keyword_gift,keyword_collectible,cluster_id,interpreted_cluster_label
product_20e3284cc86a,Hooos public Taobao/Tmall listing index,2026-08-29,69.5,,False,False,True,Palace Museum,True,Figurine / Display,Figurine,Mass Market (51-100 CNY),30,False,True,True,2,Broad museum collectible assortment
product_687197862b9f,Hooos public Taobao/Tmall listing index,2026-08-29,13.8,38.0,False,True,True,Henan Museum,True,Figurine / Display,Figurine,Budget (<=50 CNY),30,False,True,True,2,Broad museum collectible assortment
product_096bbcfcc3db,Hooos public Taobao/Tmall listing index,2026-08-29,68.0,,False,False,True,Sanxingdui,True,Excavation Kit,Excavation / DIY Kit,Mass Market (51-100 CNY),30,True,True,False,1,Official museum excavation kits
product_453f5a1d3026,Hooos public Taobao/Tmall listing index,2026-08-29,59.0,78.0,False,True,True,Sanxingdui,True,Figurine / Display,Plush / Bag Charm,Mass Market (51-100 CNY),30,False,True,False,2,Broad museum collectible assortment
product_9bfcc35bca1d,Hooos public Taobao/Tmall listing index,2026-08-29,36.9,63.0,False,True,True,National Museum of China,True,Figurine / Display,Plush / Bag Charm,Budget (<=50 CNY),30,False,True,False,2,Broad museum collectible assortment
product_9fa7cfafbc8f,Hooos public Taobao/Tmall listing index,2026-08-29,57.7,16.0,False,True,True,Shandong Museum,True,Excavation Kit,Excavation / DIY Kit,Mass Market (51-100 CNY),29,True,True,False,1,Official museum excavation kits
product_a97a141946b6,Hooos public Taobao/Tmall listing index,2026-08-29,79.0,,False,False,True,Sanxingdui,True,Figurine / Display,Figurine,Mass Market (51-100 CNY),30,False,True,True,2,Broad museum collectible assortment
product_bafdcc643a90,Hooos public Taobao/Tmall listing index,2026-08-29,24.6,61.0,False,True,False,Other / Unclear,False,Figurine / Display,Figurine,Budget (<=50 CNY),30,False,True,True,2,Broad museum collectible assortment
product_b6980ae706bc,Hooos public Taobao/Tmall listing index,2026-08-29,88.0,,False,False,True,Sanxingdui,True,Excavation Kit,Excavation / DIY Kit,Mass Market (51-100 CNY),30,True,True,False,1,Official museum excavation kits
product_6241d73cd928,Hooos public Taobao/Tmall listing index,2026-08-29,79.0,,False,False,True,Sanxingdui,True,Excavation Kit,Excavation / DIY Kit,Mass Market (51-100 CNY),30,True,True,True,1,Official museum excavation kits
product_46b4f9fbf384,Hooos public Taobao/Tmall listing index,2026-08-29,87.1,,False,False,True,Van Gogh Museum,True,Figurine / Display,Plush / Bag Charm,Mass Market (51-100 CNY),31,False,True,False,2,Broad museum collectible assortment
product_1d8eb313373b,Hooos public Taobao/Tmall listing index,2026-08-29,60.7,,False,False,True,Chengdu Museum,True,Figurine / Display,Figurine,Mass Market (51-100 CNY),30,False,True,True,2,Broad museum collectible assortment
product_4fb25566d836,Hooos public Taobao/Tmall listing index,2026-08-29,79.0,63.0,False,True,True,Shandong Museum,True,Figurine / Display,Figurine,Mass Market (51-100 CNY),28,False,True,True,2,Broad museum collectible assortment
product_424238031a28,Hooos public Taobao/Tmall listing index,2026-08-29,79.0,34.0,False,True,True,Sanxingdui,True,Figurine / Display,Figurine,Mass Market (51-100 CNY),30,False,True,True,2,Broad museum collectible assortment
product_1133d03464e3,Hooos public Taobao/Tmall listing index,2026-08-29,472.0,,False,False,True,Shaanxi History Museum,True,Figurine / Display,Figurine,High-end (>200 CNY),33,False,True,True,4,Premium museum figurines
product_554e2e4074bb,Hooos public Taobao/Tmall listing index,2026-08-29,108.0,,False,False,True,Sanxingdui,True,Excavation Kit,Excavation / DIY Kit,Premium (101-200 CNY),30,True,True,False,1,Official museum excavation kits
product_22a17bee8c5e,Hooos public Taobao/Tmall listing index,2026-08-29,69.0,,False,False,True,Shaanxi History Museum,True,Figurine / Display,Figurine,Mass Market (51-100 CNY),33,False,False,True,4,Premium museum figurines
product_8638f3cc2dfb,Hooos public Taobao/Tmall listing index,2026-08-29,47.9,,False,False,True,Shandong Museum,True,Excavation Kit,Excavation / DIY Kit,Budget (<=50 CNY),30,True,True,True,1,Official museum excavation kits
product_54267ff69602,Hooos public Taobao/Tmall listing index,2026-08-29,43.1,84.0,False,True,True,Qingdao Beer Museum,True,Figurine / Display,Other Blind-box Format,Budget (<=50 CNY),30,False,True,False,2,Broad museum collectible assortment
product_75134915696e,Hooos public Taobao/Tmall listing index,2026-08-29,69.0,,False,False,True,Sanxingdui,True,Excavation Kit,Excavation / DIY Kit,Mass Market (51-100 CNY),30,True,True,True,1,Official museum excavation kits
product_8985c483e43c,Hooos public Taobao/Tmall listing index,2026-08-29,59.0,51.0,False,True,True,Sanxingdui,True,Figurine / Display,Figurine,Mass Market (51-100 CNY),30,False,True,True,2,Broad museum collectible assortment
product_b89e968e4356,Hooos public Taobao/Tmall listing index,2026-08-29,68.0,17.0,False,True,True,Sanxingdui,True,Excavation Kit,Excavation / DIY Kit,Mass Market (51-100 CNY),30,True,True,True,1,Official museum excavation kits
product_e285470ca05a,Hooos public Taobao/Tmall listing index,2026-08-29,49.0,19.0,False,True,True,Sanxingdui,True,Figurine / Display,Figurine,Budget (<=50 CNY),30,False,False,True,2,Broad museum collectible assortment
product_1a691b92e47e,Hooos public Taobao/Tmall listing index,2026-08-29,51.0,68.0,False,True,False,Other / Unclear,False,Figurine / Display,Figurine,Mass Market (51-100 CNY),30,False,True,True,2,Broad museum collectible assortment
product_125d6ce24d21,Hooos public Taobao/Tmall listing index,2026-08-29,15.8,33.0,False,True,False,Henan Museum,True,Figurine / Display,Magnet,Budget (<=50 CNY),32,False,True,False,3,Budget marketplace excavation kits
product_4e7c29b2f582,Hooos public Taobao/Tmall listing index,2026-08-29,47.2,97.0,False,True,True,Other / Unclear,False,Figurine / Display,Figurine,Budget (<=50 CNY),30,False,True,True,2,Broad museum collectible assortment
product_4106eb22a85c,Hooos public Taobao/Tmall listing index,2026-08-29,66.7,35.0,False,True,True,Shandong Museum,True,Excavation Kit,Excavation / DIY Kit,Mass Market (51-100 CNY),30,True,True,False,1,Official museum excavation kits
product_419e076b2bf9,Hooos public Taobao/Tmall listing index,2026-08-29,79.0,16.0,False,True,True,Sanxingdui,True,Figurine / Display,Figurine,Mass Market (51-100 CNY),30,False,True,True,2,Broad museum collectible assortment
product_5b6eea5689f9,Hooos public Taobao/Tmall listing index,2026-08-29,86.0,,False,False,True,Sanxingdui,True,Excavation Kit,Excavation / DIY Kit,Mass Market (51-100 CNY),30,True,True,True,1,Official museum excavation kits
product_58e4b4af1629,Hooos public Taobao/Tmall listing index,2026-08-29,354.0,,False,False,True,Shaanxi History Museum,True,Figurine / Display,Figurine,High-end (>200 CNY),33,False,True,True,4,Premium museum figurines
product_79ea4bd77acb,Hooos public Taobao/Tmall listing index,2026-08-29,65.55,,False,False,True,Suzhou Museum,True,Figurine / Display,Figurine,Mass Market (51-100 CNY),30,False,True,True,2,Broad museum collectible assortment
product_9aa5bad6c666,Hooos public Taobao/Tmall listing index,2026-08-29,17.8,21.0,False,True,True,Sanxingdui,True,Figurine / Display,Figurine,Budget (<=50 CNY),30,False,True,True,2,Broad museum collectible assortment
product_6c7f5a9999b1,Hooos public Taobao/Tmall listing index,2026-08-29,51.0,28.0,False,True,True,Other / Unclear,False,Figurine / Display,Figurine,Mass Market (51-100 CNY),29,False,False,True,2,Broad museum collectible assortment
